1;cây atm gần tôi;;;
[INTENT];location;O;O;O
cây;O;O;O;O
atm;O;O;O;O
gần;O;O;O;O
tôi;O;O;O;O
;;;;
2;tôi đang ở sapa và muốn tìm cây rút tiền thì tìm ở đâu;;;
[INTENT];location;O;O;O
tôi;O;O;O;O
đang;O;O;O;O
ở;O;O;O;O
sapa;O;O;O;O
và;O;O;O;O
muốn;O;O;O;O
tìm;O;O;O;O
cây;O;O;O;O
rút;O;O;O;O
tiền;O;O;O;O
thì;O;O;O;O
tìm;O;O;O;O
ở;O;O;O;O
đâu;O;O;O;O
;;;;
3;cho hỏi cây atm khu vực thanh xuân hà nội;;;
[INTENT];location;O;O;O
cho;O;O;O;O
hỏi;O;O;O;O
cây;O;O;O;O
atm;O;O;O;O
khu;O;O;O;O
vực;O;O;O;O
thanh;O;O;O;O
xuân;O;O;O;O
hà;O;O;O;O
nội;O;O;O;O
;;;;
4;quanh đây có cây atm nào ko;;;
[INTENT];location;O;O;O
quanh;O;O;O;O
đây;O;O;O;O
có;O;O;O;O
cây;O;O;O;O
atm;O;O;O;O
nào;O;O;O;O
ko;O;O;O;O
;;;;
5;quanh trương đại học mỏ có cây atm nào ko;;;
[INTENT];location;O;O;O
quanh;O;O;O;O
trương;O;O;O;O
đại;O;O;O;O
học;O;O;O;O
mỏ;O;O;O;O
có;O;O;O;O
cây;O;O;O;O
atm;O;O;O;O
nào;O;O;O;O
ko;O;O;O;O
;;;;
6;ngân hàng minh có cây rút tiền ở tiền giang không;;;
[INTENT];location;O;O;O
ngân;O;O;O;O
hàng;O;O;O;O
minh;O;O;O;O
có;O;O;O;O
cây;O;O;O;O
rút;O;O;O;O
tiền;O;O;O;O
ở;O;O;O;O
tiền;O;O;O;O
giang;O;O;O;O
không;O;O;O;O
;;;;
7;danh sách atm ở đảo lý sơn;;;
[INTENT];location;O;O;O
danh;O;O;O;O
sách;O;O;O;O
atm;O;O;O;O
ở;O;O;O;O
đảo;O;O;O;O
lý;O;O;O;O
sơn;O;O;O;O
;;;;
8;danh sách cây atm;;;
[INTENT];location;O;O;O
danh;O;O;O;O
sách;O;O;O;O
cây;O;O;O;O
atm;O;O;O;O
;;;;
9;Tôi muốn tìm ATM gần nhất;;;
[INTENT];location;O;O;O
Tôi;O;O;O;O
muốn;O;O;O;O
tìm;O;O;O;O
ATM;O;O;O;O
gần;O;O;O;O
nhất;O;O;O;O
;;;;
10;Tôi muốn tìm địa điểm ATM?;;;
[INTENT];location;O;O;O
Tôi;O;O;O;O
muốn;O;O;O;O
tìm;O;O;O;O
địa;O;O;O;O
điểm;O;O;O;O
ATM?;O;O;O;O
;;;;
11;ở cần thơ có cây ở chỗ nào;;;
[INTENT];location;O;O;O
ở;O;O;O;O
cần;O;O;O;O
thơ;O;O;O;O
có;O;O;O;O
cây;O;O;O;O
ở;O;O;O;O
chỗ;O;O;O;O
nào;O;O;O;O
;;;;
12;quanh hồ gươm có cây atm vietinbank không vậy;;;
[INTENT];location;O;O;O
quanh;O;O;O;O
hồ;O;O;O;O
gươm;O;O;O;O
có;O;O;O;O
cây;O;O;O;O
atm;O;O;O;O
vietinbank;O;O;O;O
không;O;O;O;O
vậy;O;O;O;O
;;;;
13;khu mĩ đình có cây atm ko;;;
[INTENT];location;O;O;O
khu;O;O;O;O
mĩ;O;O;O;O
đình;O;O;O;O
có;O;O;O;O
cây;O;O;O;O
atm;O;O;O;O
ko;O;O;O;O
;;;;
14;Máy ATM của Vietinbank đặt ở đâu?;;;
[INTENT];location;O;O;O
Máy;O;O;O;O
ATM;O;O;O;O
của;O;O;O;O
Vietinbank;O;O;O;O
đặt;O;O;O;O
ở;O;O;O;O
đâu?;O;O;O;O
;;;;
15;cây atm gần nhất ở đâu;;;
[INTENT];location;O;O;O
cây;O;O;O;O
atm;O;O;O;O
gần;O;O;O;O
nhất;O;O;O;O
ở;O;O;O;O
đâu;O;O;O;O
;;;;
16;Ở Chương Mỹ có cây ATM của NHCT không?;;;
[INTENT];location;O;O;O
Ở;O;O;O;O
Chương;O;O;O;O
Mỹ;O;O;O;O
có;O;O;O;O
cây;O;O;O;O
ATM;O;O;O;O
của;O;O;O;O
NHCT;O;O;O;O
không?;O;O;O;O
;;;;
17;có cây nào gần nhà t ko;;;
[INTENT];location;O;O;O
có;O;O;O;O
cây;O;O;O;O
nào;O;O;O;O
gần;O;O;O;O
nhà;O;O;O;O
t;O;O;O;O
ko;O;O;O;O
;;;;
18;tôi muốn tìm cây rút tiền ở tp ninh bình;;;
[INTENT];location;O;O;O
tôi;O;O;O;O
muốn;O;O;O;O
tìm;O;O;O;O
cây;O;O;O;O
rút;O;O;O;O
tiền;O;O;O;O
ở;O;O;O;O
tp;O;O;O;O
ninh;O;O;O;O
bình;O;O;O;O
;;;;
19;tôi muốn tìm cây atm quanh chỗ làm việc;;;
[INTENT];location;O;O;O
tôi;O;O;O;O
muốn;O;O;O;O
tìm;O;O;O;O
cây;O;O;O;O
atm;O;O;O;O
quanh;O;O;O;O
chỗ;O;O;O;O
làm;O;O;O;O
việc;O;O;O;O
;;;;
20;ở đâu có cây atm;;;
[INTENT];location;O;O;O
ở;O;O;O;O
đâu;O;O;O;O
có;O;O;O;O
cây;O;O;O;O
atm;O;O;O;O
;;;;
21;oqr cầu giấy có những cây atm nào;;;
[INTENT];location;O;O;O
oqr;O;O;O;O
cầu;O;O;O;O
giấy;O;O;O;O
có;O;O;O;O
những;O;O;O;O
cây;O;O;O;O
atm;O;O;O;O
nào;O;O;O;O
;;;;
22;Tôi muốn tìm cây ATM để rút tiền;;;
[INTENT];location;O;O;O
Tôi;O;O;O;O
muốn;O;O;O;O
tìm;O;O;O;O
cây;O;O;O;O
ATM;O;O;O;O
để;O;O;O;O
rút;O;O;O;O
tiền;O;O;O;O
;;;;
23;cấy rút tiền atm ở tp phủ lý;;;
[INTENT];location;O;O;O
cấy;O;O;O;O
rút;O;O;O;O
tiền;O;O;O;O
atm;O;O;O;O
ở;O;O;O;O
tp;O;O;O;O
phủ;O;O;O;O
lý;O;O;O;O
;;;;
24;vị trí cây atm;;;
[INTENT];location;O;O;O
vị;O;O;O;O
trí;O;O;O;O
cây;O;O;O;O
atm;O;O;O;O
;;;;
25;atm vietinbank ở đảo cô tô;;;
[INTENT];location;O;O;O
atm;O;O;O;O
vietinbank;O;O;O;O
ở;O;O;O;O
đảo;O;O;O;O
cô;O;O;O;O
tô;O;O;O;O
;;;;
26;máy atm ở khu vực tây hồ hà nội;;;
[INTENT];location;O;O;O
máy;O;O;O;O
atm;O;O;O;O
ở;O;O;O;O
khu;O;O;O;O
vực;O;O;O;O
tây;O;O;O;O
hồ;O;O;O;O
hà;O;O;O;O
nội;O;O;O;O
;;;;
27;Gửi mình địa chỉ của cây atm khu vực tp Hồ Chí Minh nhé!;;;
[INTENT];location;O;O;O
Gửi;O;O;O;O
mình;O;O;O;O
địa;O;O;O;O
chỉ;O;O;O;O
của;O;O;O;O
cây;O;O;O;O
atm;O;O;O;O
khu;O;O;O;O
vực;O;O;O;O
tp;O;O;O;O
Hồ;O;O;O;O
Chí;O;O;O;O
Minh;O;O;O;O
nhé!;O;O;O;O
;;;;
28;M muốn rút tiền mà k tìm thấy cây ATM nào?;;;
[INTENT];location;O;O;O
M;O;O;O;O
muốn;O;O;O;O
rút;O;O;O;O
tiền;O;O;O;O
mà;O;O;O;O
k;O;O;O;O
tìm;O;O;O;O
thấy;O;O;O;O
cây;O;O;O;O
ATM;O;O;O;O
nào?;O;O;O;O
;;;;
29;Chỉ tôi chỗ có cây ATM của ngân hàng mình;;;
[INTENT];location;O;O;O
Chỉ;O;O;O;O
tôi;O;O;O;O
chỗ;O;O;O;O
có;O;O;O;O
cây;O;O;O;O
ATM;O;O;O;O
của;O;O;O;O
ngân;O;O;O;O
hàng;O;O;O;O
mình;O;O;O;O
;;;;
30;cây atm trên đường đặng văn bi;;;
[INTENT];location;O;O;O
cây;O;O;O;O
atm;O;O;O;O
trên;O;O;O;O
đường;O;O;O;O
đặng;O;O;O;O
văn;O;O;O;O
bi;O;O;O;O
;;;;
31;em muốn tìm các cây atm ở gần đường Trần Thái Tông;;;
[INTENT];location;O;O;O
em;O;O;O;O
muốn;O;O;O;O
tìm;O;O;O;O
các;O;O;O;O
cây;O;O;O;O
atm;O;O;O;O
ở;O;O;O;O
gần;O;O;O;O
đường;O;O;O;O
Trần;O;O;O;O
Thái;O;O;O;O
Tông;O;O;O;O
;;;;
32;Mình cần rút tiền thì cần tìm cây ở đâu?;;;
[INTENT];location;O;O;O
Mình;O;O;O;O
cần;O;O;O;O
rút;O;O;O;O
tiền;O;O;O;O
thì;O;O;O;O
cần;O;O;O;O
tìm;O;O;O;O
cây;O;O;O;O
ở;O;O;O;O
đâu?;O;O;O;O
;;;;
33;Cây atm của VCB đc đặt ở những đâu?;;;
[INTENT];location;O;O;O
Cây;O;O;O;O
atm;O;O;O;O
của;O;O;O;O
VCB;O;O;O;O
đc;O;O;O;O
đặt;O;O;O;O
ở;O;O;O;O
những;O;O;O;O
đâu?;O;O;O;O
;;;;
34;Quanh Thanh Xuân có cây atm nào k b?;;;
[INTENT];location;O;O;O
Quanh;O;O;O;O
Thanh;O;O;O;O
Xuân;O;O;O;O
có;O;O;O;O
cây;O;O;O;O
atm;O;O;O;O
nào;O;O;O;O
k;O;O;O;O
b?;O;O;O;O
;;;;
35;ngân hàng Vietcombank ở hàm nghi có cây atm ko ad;;;
[INTENT];location;O;O;O
ngân;O;O;O;O
hàng;O;O;O;O
Vietcombank;O;O;O;O
ở;O;O;O;O
hàm;O;O;O;O
nghi;O;O;O;O
có;O;O;O;O
cây;O;O;O;O
atm;O;O;O;O
ko;O;O;O;O
ad;O;O;O;O
;;;;
36;Cho mình hỏi chỗ rút tiền gần mình nhất;;;
[INTENT];location;O;O;O
Cho;O;O;O;O
mình;O;O;O;O
hỏi;O;O;O;O
chỗ;O;O;O;O
rút;O;O;O;O
tiền;O;O;O;O
gần;O;O;O;O
mình;O;O;O;O
nhất;O;O;O;O
;;;;
37;danh sách máy atm;;;
[INTENT];location;O;O;O
danh;O;O;O;O
sách;O;O;O;O
máy;O;O;O;O
atm;O;O;O;O
;;;;
38;Chỉ tôi chỗ có cây ATM của VCB;;;
[INTENT];location;O;O;O
Chỉ;O;O;O;O
tôi;O;O;O;O
chỗ;O;O;O;O
có;O;O;O;O
cây;O;O;O;O
ATM;O;O;O;O
của;O;O;O;O
VCB;O;O;O;O
;;;;
39;Atm khu vực ba đình;;;
[INTENT];location;O;O;O
Atm;O;O;O;O
khu;O;O;O;O
vực;O;O;O;O
ba;O;O;O;O
đình;O;O;O;O
;;;;
40;xin cho tôi biết các vị trí của ATM;;;
[INTENT];location;O;O;O
xin;O;O;O;O
cho;O;O;O;O
tôi;O;O;O;O
biết;O;O;O;O
các;O;O;O;O
vị;O;O;O;O
trí;O;O;O;O
của;O;O;O;O
ATM;O;O;O;O
;;;;
41;bạn ơi cho mình vị trí các cây ATM của ngân hàng với;;;
[INTENT];location;O;O;O
bạn;O;O;O;O
ơi;O;O;O;O
cho;O;O;O;O
mình;O;O;O;O
vị;O;O;O;O
trí;O;O;O;O
các;O;O;O;O
cây;O;O;O;O
ATM;O;O;O;O
của;O;O;O;O
ngân;O;O;O;O
hàng;O;O;O;O
với;O;O;O;O
;;;;
42;Minh k tìm thấy cây rút tiền;;;
[INTENT];location;O;O;O
Minh;O;O;O;O
k;O;O;O;O
tìm;O;O;O;O
thấy;O;O;O;O
cây;O;O;O;O
rút;O;O;O;O
tiền;O;O;O;O
;;;;
43;Cho mình hỏi điểm đặt cây ATM;;;
[INTENT];location;O;O;O
Cho;O;O;O;O
mình;O;O;O;O
hỏi;O;O;O;O
điểm;O;O;O;O
đặt;O;O;O;O
cây;O;O;O;O
ATM;O;O;O;O
;;;;
44;B ơi cho mình hỏi mình ở Đống Đa thì có cây VCB nào ở khu vực đó k ?;;;
[INTENT];location;O;O;O
B;O;O;O;O
ơi;O;O;O;O
cho;O;O;O;O
mình;O;O;O;O
hỏi;O;O;O;O
mình;O;O;O;O
ở;O;O;O;O
Đống;O;O;O;O
Đa;O;O;O;O
thì;O;O;O;O
có;O;O;O;O
cây;O;O;O;O
VCB;O;O;O;O
nào;O;O;O;O
ở;O;O;O;O
khu;O;O;O;O
vực;O;O;O;O
đó;O;O;O;O
k;O;O;O;O
?;O;O;O;O
;;;;
45;vị trí atm;;;
[INTENT];location;O;O;O
vị;O;O;O;O
trí;O;O;O;O
atm;O;O;O;O
;;;;
46;Địa điểm đặt máy ATM của VCB;;;
[INTENT];location;O;O;O
Địa;O;O;O;O
điểm;O;O;O;O
đặt;O;O;O;O
máy;O;O;O;O
ATM;O;O;O;O
của;O;O;O;O
VCB;O;O;O;O
;;;;
47;địa điểm ATM gần nhất;;;
[INTENT];location;O;O;O
địa;O;O;O;O
điểm;O;O;O;O
ATM;O;O;O;O
gần;O;O;O;O
nhất;O;O;O;O
;;;;
48;mình muồn tìm địa điểm atm;;;
[INTENT];location;O;O;O
mình;O;O;O;O
muồn;O;O;O;O
tìm;O;O;O;O
địa;O;O;O;O
điểm;O;O;O;O
atm;O;O;O;O
;;;;
49;Quanh HN ở những đâu có cây atm của vcb vậy?;;;
[INTENT];location;O;O;O
Quanh;O;O;O;O
HN;O;O;O;O
ở;O;O;O;O
những;O;O;O;O
đâu;O;O;O;O
có;O;O;O;O
cây;O;O;O;O
atm;O;O;O;O
của;O;O;O;O
vcb;O;O;O;O
vậy?;O;O;O;O
;;;;
50;Tôi muốn tìm máy rút tiền bằng qr;;;
[INTENT];location;O;O;O
Tôi;O;O;O;O
muốn;O;O;O;O
tìm;O;O;O;O
máy;O;O;O;O
rút;O;O;O;O
tiền;O;O;O;O
bằng;O;O;O;O
qr;O;O;O;O
;;;;
51;Tôi muốn tìm atm tại khu vực quận long biên, tp hà nội;;;
[INTENT];location;O;O;O
Tôi;O;O;O;O
muốn;O;O;O;O
tìm;O;O;O;O
atm;O;O;O;O
tại;O;O;O;O
khu;O;O;O;O
vực;O;O;O;O
quận;O;O;O;O
long;O;O;O;O
biên,;O;O;O;O
tp;O;O;O;O
hà;O;O;O;O
nội;O;O;O;O
;;;;
52;Vị trí các cây ATM của ngân hàng tn ?;;;
[INTENT];location;O;O;O
Vị;O;O;O;O
trí;O;O;O;O
các;O;O;O;O
cây;O;O;O;O
ATM;O;O;O;O
của;O;O;O;O
ngân;O;O;O;O
hàng;O;O;O;O
tn;O;O;O;O
?;O;O;O;O
;;;;
53;Cho mình hỏi quanh đại học Thủy Lợi có cây ATM nào của VCB hông ?;;;
[INTENT];location;O;O;O
Cho;O;O;O;O
mình;O;O;O;O
hỏi;O;O;O;O
quanh;O;O;O;O
đại;O;O;O;O
học;O;O;O;O
Thủy;O;O;O;O
Lợi;O;O;O;O
có;O;O;O;O
cây;O;O;O;O
ATM;O;O;O;O
nào;O;O;O;O
của;O;O;O;O
VCB;O;O;O;O
hông;O;O;O;O
?;O;O;O;O
;;;;
54;Địa chỉ ATM vcb ở Nam Từ Liêm;;;
[INTENT];location;O;O;O
Địa;O;O;O;O
chỉ;O;O;O;O
ATM;O;O;O;O
vcb;O;O;O;O
ở;O;O;O;O
Nam;O;O;O;O
Từ;O;O;O;O
Liêm;O;O;O;O
;;;;
55;em ở 12 Duy Tân, Dịch Vọng Hậu Cầu Giấy thì có cây atm nào gần ko ạ;;;
[INTENT];location;O;O;O
em;O;O;O;O
ở;O;O;O;O
12;O;O;O;O
Duy;O;O;O;O
Tân,;O;O;O;O
Dịch;O;O;O;O
Vọng;O;O;O;O
Hậu;O;O;O;O
Cầu;O;O;O;O
Giấy;O;O;O;O
thì;O;O;O;O
có;O;O;O;O
cây;O;O;O;O
atm;O;O;O;O
nào;O;O;O;O
gần;O;O;O;O
ko;O;O;O;O
ạ;O;O;O;O
;;;;
56;atm ở đâu;;;
[INTENT];location;O;O;O
atm;O;O;O;O
ở;O;O;O;O
đâu;O;O;O;O
;;;;
57;Cây atm của VCB được đặt ở những đâu vậy?;;;
[INTENT];location;O;O;O
Cây;O;O;O;O
atm;O;O;O;O
của;O;O;O;O
VCB;O;O;O;O
được;O;O;O;O
đặt;O;O;O;O
ở;O;O;O;O
những;O;O;O;O
đâu;O;O;O;O
vậy?;O;O;O;O
;;;;
58;Tôi muốn tìm địa điểm đặt máy ATM của VCB?;;;
[INTENT];location;O;O;O
Tôi;O;O;O;O
muốn;O;O;O;O
tìm;O;O;O;O
địa;O;O;O;O
