embeddingSize	hiddenSize	trainingAcc	devAcc	testAcc	trainingUAS	trainingLAS	devUAS	devLAS	testUAS	testLAS
25.0	32.0	0.8728544360231832	0.567885438708725	0.5559283587732149	0.661517177772654	0.612220428867881	0.40238752639272374	0.3174435601754101	0.3825950607604861	0.2954919639357115
25.0	64.0	0.8577240303165403	0.5793021996948969	0.566135815887718	0.6888632695411575	0.6400737837214665	0.435033295436089	0.3448107844729576	0.41089768718149744	0.32065856526852216
25.0	128.0	0.8114132857779759	0.5685251710053639	0.5597088984452531	0.6844362462531703	0.6272538621166706	0.45046288777001786	0.3513886633100536	0.42775382203057627	0.32951783614268915
25.0	256.0	0.7754681230494873	0.5603070715023867	0.5558338452814139	0.6715240949965414	0.6052109753285682	0.439418547994153	0.34391749228520385	0.4169345354762838	0.32340258722069776
25.0	300.0	0.8119984395898351	0.5610944343290193	0.5553612778224092	0.6876642840673276	0.6210744754438552	0.4495695955822641	0.34822153646256293	0.4243825950607605	0.3255194041552332
50.0	32.0	0.8525969683459652	0.5634073126322523	0.5470440905439251	0.6974406271616325	0.6511874567673507	0.43478967029397436	0.3468409939905798	0.4101136809094473	0.32026656213249705
50.0	64.0	0.793830806954971	0.5622262683923035	0.5365058362081188	0.67659672584736	0.6207516716624395	0.43113529316225435	0.34245574143251584	0.4116816934535476	0.32332418659349277
50.0	128.0	0.8471076683013821	0.5774814231583092	0.5676480317565332	0.7065252478671893	0.6493889785566059	0.45793405879486765	0.3630014617508527	0.43802430419443356	0.34425715405723245
50.0	256.0	0.8488631297369594	0.5717238324885586	0.5614101412976702	0.7207747290753977	0.6575513027438321	0.4720643170375183	0.3602403768068865	0.4462563700509604	0.3430811446491572
50.0	300.0	0.8471076683013821	0.5643915161655431	0.55148622465857	0.7265851971408808	0.6522019829375144	0.4765307779762872	0.35764170862433003	0.4506468051744414	0.33923951391611135
75.0	32.0	0.7067264823896567	0.5209881403474238	0.4988422097254383	0.6025824302513259	0.4676965644454692	0.42967354230956634	0.3008770505116128	0.41575852606820857	0.2840454723637789
